"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\link.write.1.tlog","신규","15","2180","518cd1f6","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\manager.obj","신규","66","83203","9a5e8316","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\vc140.pdb","신규","684","110592","200c0789","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\analysis.bat","신규","3","154","53fdf6dc","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\parser.sconf","신규","1","2","0d4cbb29","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\Release\address_manager.exe","신규","36","11776","f7fa8a88","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\Release\address_manager.iobj","신규","362","63412","36041494","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\Release\address_manager.ipdb","신규","14","19904","9e0ffba8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\Release\address_manager.pdb","신규","1045","471040","e5db836f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.cs_wrapper\320be578-16d5-4954-8b41-d7e167aaef68.cmd","신규","6","260","3d31c692","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.hint","신규","1","199","2304bd5e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.STATICFILE","신규","59","1225","7382374b","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v14\.suo","신규","20","47616","f9188592","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v15\.suo","신규","25","53248","7921b257","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v15\Server\sqlite3\db.lock","신규","1","0","00000000","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v15\Server\sqlite3\storage.ide","신규","1","4096","e44c3219","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v15\Server\sqlite3\storage.ide-shm","신규","3","32768","45181af9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v15\Server\sqlite3\storage.ide-wal","신규","1942","931152","a88a5203","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\.vs\Calculator\v16\.suo","신규","20","60928","7d9e21a9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\_UpgradeReport_Files\UpgradeReport.css","신규","208","3141","b3964e35","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\_UpgradeReport_Files\UpgradeReport.xslt","신규","233","12302","14cb98cd","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\_UpgradeReport_Files\UpgradeReport_Minus.gif","신규","1","69","6fcc2d13","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\_UpgradeReport_Files\UpgradeReport_Plus.gif","신규","2","71","19926607","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox1.cs","신규","120","4759","1ab7043f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox1.Designer.cs","신규","189","10571","d4758dd0","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox1.resx","신규","624","49770","456a26e7","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox2.cs","신규","129","5015","195bbb28","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox2.Designer.cs","신규","194","11339","7553aa18","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\AboutBox2.resx","신규","270","18545","052fa1fc","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\app.config","신규","4","160","4c374dcf","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\16044_Calculator#.cslog","신규","39","1218","bce64f55","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\16800_Calculator#.cslog","신규","47","1490","26d432eb","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\26072_Calculator#.cslog","신규","13","304","fd02c6be","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\29516_Calculator#.cslog","신규","14","343","56e79e0f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\31240_Calculator#.cslog","신규","14","343","56e79e0f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\8176_Calculator#.cslog","신규","15","385","f8f40326","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.exe","신규","1864","92160","b480bda2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.exe.config","신규","4","160","4c374dcf","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.pdb","신규","451","140800","0b9811d9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.vshost.exe","신규","65","11592","614135fd","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.vshost.exe.config","신규","4","160","4c374dcf","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Calculator#.vshost.exe.manifest","신규","12","479","b2c553d3","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\CoverCSharpLibrary.dll","신규","417","21504","79be240e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\CoverCSharpLibrary.pdb","신규","175","77312","91940484","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\CoverCSharpLibrary.xml","신규","15","306","0cac5805","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\Documentation.htm","신규","78","3004","149a573e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\bin\Debug\nunit.framework.dll","신규","989","69632","53a948f7","미수행","미수행","비대상","미수행","불일치"
